,ts_code,acc_rate,chairman,reg_capital,setup_date,province,city,main_business,website
0,000651.SZ,511.728,董明珠,601573.0878,19891213,广东,珠海市,主要产品:空气调节器.,www.gree.com.cn
1,000568.SZ,335.332,刘淼,146475.2476,19950503,四川,泸州市,主要产品:“泸州老窖”系列酒.,www.lzlj.com
2,600519.SH,314.01,高卫东,125619.78,19991120,贵州,遵义市,"主要产品:高度茅台酒(含陈年茅台酒),低度茅台酒.",www.moutaichina.com
3,000002.SZ,261.502,郁亮,1099521.0218,19840530,广东,深圳市,房地产开发和物业服务,www.vanke.com
4,600887.SH,258.395,潘刚,606588.6833,19930604,内蒙古,呼和浩特市,"液体乳系列,冷饮产品系列,奶粉及奶食品系列,混和饲料,方便食品",www.yili.com
5,000661.SZ,204.203,马骥,20236.0145,19930610,吉林,长春市,"主要产品:基因重组人生长素,血栓心脉宁,冠脉宁.",www.cchn.com.cn
6,000538.SZ,200.425,王明辉,127740.3317,19931130,云南,昆明市,主要业务:药品(以中成药为主)的生产经营及外购药品的批发零售.,www.yunnanbaiyao.com.cn
7,000858.SZ,99.309,曾从钦,388160.8005,19980421,四川,宜宾市,主要产品:五粮液系列酒.,www.wuliangye.com.cn
8,000895.SZ,70.735,万隆,331928.219,19981015,河南,漯河市,"主要产品:高温肉制品,低温肉制品,鲜冻猪产品,商业连锁服务.",www.shuanghui.net
9,002007.SZ,69.303,安康,182436.6726,19920330,河南,新乡市,"主要产品:人血白蛋白,静注丙球",www.hualanbio.com
10,300601.SZ,54.638,杜伟民,67249.3637,19920908,广东,深圳市,"主要产品:重组乙型肝炎疫苗(酿酒酵母)(10μg,20μg,60μg三种规格),b型流感嗜血杆菌结合疫苗,麻疹风疹联合减毒活疫苗,无细胞百白破b型流感嗜血杆菌联合疫苗等产品.主营业务;为人用疫苗的研发,生产和销售,",www.biokangtai.com
